Name,SteamID,Rank,Team,Kills,Assists,Deaths,K/D,HS,HS%,Team kill,Entry kill,Bomb planted,Bomb defused,MVP,Score,Rating,KPR,APR,DPR,ADR,TDH,TDA,5K,4K,3K,2K,1K,Trade kill,Trade death,Crouch kill,Jump kill,1v1,1v1 won,1v1 loss,1v1 won %,1v2,1v2 won,1v2 loss,1v2 won %,1v3,1v3 won,1v3 loss,1v3 won %,1v4,1v4 won,1v4 loss,1v4 won %,1v5,1v5 won,1v5 loss,1v5 won %,Flashbang,Smoke,HE,Decoy,Molotov,Incendiary,VAC,OW
DarkAngel,76561198118366508,4,Team 1,3,1,7,0.43,1,33.33,0,2,0,0,0,7,0.416000008583069,0.38,0.12,0.88,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Satisfy,76561198084641432,4,Team 1,6,1,5,1.2,2,33.33,0,0,0,0,0,13,1.00600004196167,0.75,0.12,0.62,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LoopieDoo,76561198064646048,5,Shockwave Wild,8,0,4,2,2,25,0,1,2,0,1,22,1.53400003910065,1,0,0.5,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SoftMandar,76561198068493102,3,Shockwave Wild,3,2,3,1,0,0,0,0,2,0,0,12,0.824000000953674,0.38,0.25,0.38,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flann,76561198044075142,4,Team 1,5,1,6,0.83,1,20,0,0,0,0,1,11,0.871999979019165,0.62,0.12,0.75,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Tyler,76561198013599504,0,Team 1,1,0,1,1,0,0,0,0,0,0,0,0,0.783999979496002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UniX,76561198109010953,0,Team 1,1,0,7,0.14,1,100,0,3,0,0,0,2,0.207000002264977,0.12,0,0.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BerzerKKK,76561198089977159,2,Shockwave Wild,6,3,4,1.5,3,50,0,0,0,0,2,16,1.18099999427795,0.75,0.38,0.5,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
GhostSTORM,76561198088027910,3,Shockwave Wild,2,3,3,0.67,0,0,0,2,0,0,0,8,0.720000028610229,0.25,0.38,0.38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dusky,76561198070115844,3,Shockwave Wild,12,0,2,6,2,16.67,0,2,1,0,3,27,2.37400007247925,1.5,0,0.25,0,0,0,0,0,1,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
